files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=0.04 s (473.1 files/s 133630.3 lines/s)"
15,Python,615,893,3215
2,Markdown,148,0,416
1,YAML,7,1,34
1,TOML,5,0,33
19,SUM,775,894,3698
